사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019091000100061,2019년 9월 10일 02시,화요일,대전광역시 서구 정림동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,46세,상해없음,보행자,남,19세,경상
2019091000100194,2019년 9월 10일 08시,화요일,대전광역시 동구 가양동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,보행자,여,73세,중상
2019091000100367,2019년 9월 10일 12시,화요일,대전광역시 유성구 송강동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,여,78세,경상
2019091000100453,2019년 9월 10일 14시,화요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,36세,기타불명,보행자,여,73세,경상
2019091000100623,2019년 9월 10일 18시,화요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,남,6세,중상
2019091000100778,2019년 9월 10일 21시,화요일,대전광역시 유성구 봉명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,여,51세,중상
2019091100100321,2019년 9월 11일 11시,수요일,대전광역시 중구 유천동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,37세,경상
2019091100100322,2019년 9월 11일 11시,수요일,대전광역시 동구 가오동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,72세,상해없음,보행자,여,73세,사망
2019091100100395,2019년 9월 11일 13시,수요일,대전광역시 대덕구 덕암동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,65세,기타불명,보행자,남,48세,경상
2019091100100680,2019년 9월 11일 18시,수요일,대전광역시 유성구 원내동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,보행자,남,47세,경상
2019091100100747,2019년 9월 11일 19시,수요일,대전광역시 서구 괴정동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,53세,상해없음,보행자,여,48세,중상
